11,Aceh,4.695135,96.7493993
12,Sumatera Utara,2.1153547,99.5450974
13,Sumatera Barat,-0.7399397,100.8000051
14,Riau,0.2933469,101.7068294
15,Jambi,-1.6101229,103.6131203
16,Sumatera Selatan,-3.3194374,103.914399
17,Bengkulu,-3.7928451,102.2607641
18,Lampung,-4.5585849,105.4068079
19,Kepulauan Bangka Belitung,-2.7410513,106.4405872
21,Kepulauan Riau,3.9456514,108.1428669
31,Dki Jakarta,-6.2087634,106.845599
32,Jawa Barat,-7.090911,107.668887
33,Jawa Tengah,-7.150975,110.1402594
34,Di Yogyakarta,-7.8753849,110.4262088
35,Jawa Timur,-7.5360639,112.2384017
36,Banten,-6.4058172,106.0640179
51,Bali,-8.3405389,115.0919509
52,Nusa Tenggara Barat,-8.6529334,117.3616476
53,Nusa Tenggara Timur,-8.6573819,121.0793705
61,Kalimantan Barat,-0.2787808,111.4752851
62,Kalimantan Tengah,-1.6814878,113.3823545
63,Kalimantan Selatan,-3.0926415,115.2837585
64,Kalimantan Timur,0.5386586,116.419389
65,Kalimantan Utara,3.0730929,116.0413889
71,Sulawesi Utara,0.6246932,123.9750018
72,Sulawesi Tengah,-1.4300254,121.4456179
73,Sulawesi Selatan,-3.6687994,119.9740534
74,Sulawesi Tenggara,-4.14491,122.174605
75,Gorontalo,0.5435442,123.0567693
76,Sulawesi Barat,-2.8441371,119.2320784
81,Maluku,-2.8646166,129.5765974
82,Maluku Utara,1.5709993,127.8087693
91,Papua Barat,-1.3361154,133.1747162
94,Papua,-4.269928,138.0803529
